文件名,直接原因,最终三元组
2013-2_print.txt,未申请停电作业;  未使用绝缘工具使树枝远离带电导线;  擅自开始砍树作业,\n(安全培训教育不足，导致，安全意识薄弱)  \n(安全培训教育不足，导致，安全培训效果不明显)  \n(现场监督检查不力，导致，未核实作业现场潮湿状况及树木接近带电导线)  \n(现场监督检查不力，导致，未采取停电措施)  \n(现场监 督检查不力，导致，没有跟踪检查安全要求执行情况)  \n(资质审核不到位，导致，安监办工作人员无证上岗)  \n(资质审核不到位，导致，安全培训教育不足)  \n(安全培训效果不明显，导致，安全意识薄弱)  \n(安全意识薄弱，导致，未申请停电作业)  \n(安全意识薄弱，导致，未使用绝缘工具使树枝远离带电导线)  \n(安全意识薄弱，导致，擅自 开始砍树作业)  \n(未采取停电措施，导致，未申请停电作业)  \n(未核实作业现场潮湿状况及树木接近带电导线，导致，擅自开始砍树作业)  \n(没有跟踪检查安全要求执行情 况，导致，擅自开始砍树作业)  \n(安监办工作人员无证上岗，导致，没有跟踪检查安全要求执行情况)  \n(未申请停电作业，和，未使用绝缘工具使树枝远离带电导线)  \n(未 申请停电作业，和，擅自开始砍树作业)  \n(未使用绝缘工具使树枝远离带电导线，和，擅自开始砍树作业)  \n(未申请停电作业，导致，触电)  \n(未使用绝缘工具使树枝远离带电导线，导致，触电)  \n(擅自开始砍树作业，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2013-3_print.txt,未执行停电操作;  未挂接接地线;  未进行验电操作;  擅自登杆检查带电设备,\n(现场监督检查不力，导致，作业前未进行安全交代)  \n(现场监督检查不力，导致，未设置专责监护人)  \n(现场监督检查不力，导致，作业现场安全监控未实施)  \n(作业前未进行安全交代，导致，未执行停电操作)  \n(作业前未进行安全交代，导致，未进行验电操作)  \n(未设置专责监护人，导致，擅自登杆检查带电设备)  \n(作业现场安全监控未实施，导致，未挂接接地线)  \n(未执行停电操作，和， 未挂接接地线)  \n(未执行停电操作，和，未进行验电操作)  \n(未执行停电操作，和，擅自登杆检查带电设备)  \n(未挂接接地线，和，未进行验电操作)  \n(未挂接接地线， 和，擅自登杆检查带电设备)  \n(未进行验电操作，和，擅自登杆检查带电设备)  \n(未执行停电操作，导致，触电)  \n(未挂接接地线，导致，触电)  \n(未进行验电操作，导 致，触电)  \n(擅自登杆检查带电设备，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2013-4_print.txt,毛竹竿倾斜触碰带电导线;  违反脚手架搭设操作规定,\n(安全组织不严谨，导致，安全检查不到位)  \n(安全组 织不严谨，导致，安全教育不到位)  \n(安全组织不严谨，导致，现场动态安全监督不到位)  \n(安全检查不到位，导致，安全意识淡薄)  \n(安全教育不到位，导致，安全意识 淡薄)  \n(现场动态安全监督不到位，导致，安全意识淡薄)  \n(安全意识淡薄，导致，毛竹竿倾斜触碰带电导线)  \n(安全意识淡薄，导致，违反脚手架搭设操作规定)  \n(毛 竹竿倾斜触碰带电导线，和，违反脚手架搭设操作规定)  \n(毛竹竿倾斜触碰带电导线，导致，触电)  \n(违反脚手架搭设操作规定，导致，触电)  \n(触电，导致，1人死亡；0 人受伤；直接经济损失约0万元)
2013-5_print.txt,未办理工作票手续;  未佩戴安全帽;  未执行验电操作;  未挂接地线;  擅自登上设备作业;  误入带电间隔,\n(安全培训教育不足，导致，工作人员未制止违章操作)  \n(安全培训教育不足，导致，监督人员未制止违章操作)  \n(现场监督检查不力，导致，监督人员未制止违章操作)  \n(现场监督检查不力，导致，监督人员未向上级汇报违章意图)  \n(安全责任不落实，导致，监督人员未向上级汇报违章意图)  \n(安全责任不落实，导致，工作人员未制止违章操作)  \n(工作人员未制止违章操作，导致，未办理工作票手续)  \n(工作人员未制止违章操作，导致，未佩戴安全帽)  \n(工作人员未制止违章操作，导致，未执行验电操作)  \n(工作人员未制止违章操作，导致，擅自登上设备作业)  \n(监督人员未制止违章操作，导致，未挂接地线)  \n(监督人员未向上级汇报违章意图，导致，误入带电间隔)  \n(未办理工作票手续，和，未佩戴安全帽)  \n(未执行验电操作，和 ，未挂接地线)  \n(擅自登上设备作业，和，误入带电间隔)  \n(未办理工作票手续，导致，触电)  \n(未佩戴安全帽，导致，触电)  \n(未执行验电操作，导致，触电)  \n(未挂接地线，导致，触电)  \n(擅自登上设备作业，导致，触电)  \n(误入带电间隔，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2013-6_print.txt,在拆除设备接头时没有采取防止接地线脱落的措施,\n(安全教育培训不到位，导致，员工安全意识薄弱)  \n(安全教育培训不到位，导致，对感应电风险认识不足)  \n(安全风险管控不到位，导致，对感应电风险认识不足)  \n(安全风险管控不到位，导致，作业现场监护不到位)  \n(安全制度 执行不力，导致，作业现场监护不到位)  \n(安全制度执行不力，导致，员工安全意识薄弱)  \n(安全教育培训不到位，和，安全风险管控不到位)  \n(安全教育培训不到位，和 ，安全制度执行不力)  \n(安全风险管控不到位，和，安全制度执行不力)  \n(员工安全意识薄弱，和，对感应电风险认识不足)  \n(员工安全意识薄弱，和，作业现场监护不到 位)  \n(对感应电风险认识不足，和，作业现场监护不到位)  \n(员工安全意识薄弱，导致，在拆除设备接头时没有采取防止接地线脱落的措施)  \n(对感应电风险认识不足，导致，在拆除设备接头时没有采取防止接地线脱落的措施)  \n(作业现场监护不到位，导致，在拆除设备接头时没有采取防止接地线脱落的措施)  \n(在拆除设备接头时没有采取防 止接地线脱落的措施，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2013-7_print.txt, 未系安全绳登高作业,"\n(安全生产责任不落实, 导致, 安全教育培训不足)  \n(安全生产责任不落实, 导致, 监督检查不力)  \n(安全管理机构不健全, 导致, 监督检查不力)  \n(安全管理机构不健全, 导致, 安全教育培训不足)  \n(监督检查不力, 导致, 现场监 护人缺失)  \n(安全教育培训不足, 导致, 安全意识薄弱)  \n(安全意识薄弱, 导致, 未系安全绳登高作业)  \n(现场监护人缺失, 导致, 未系安全绳登高作业)  \n(安全意识薄 弱, 和, 现场监护人缺失)  \n(未系安全绳登高作业, 导致, 高处坠落)  \n(高处坠落, 导致, 1人死亡；0人受伤；直接经济损失约0万元)"
2013-9_print.txt,未执行停电验电操作;  瓷瓶破裂导致带电导线暴露,\n(隐患排查不到位，导致，作业前风险辨识不足)  \n(隐患排查不到位，导致，设备维护不足)  \n(作业前风险辨识不足，导致，未执行停电验电操作)  \n(设备维护不足，导致，瓷瓶破裂导致带电导线暴露)  \n(未执行停电验电操作，和， 瓷瓶破裂导致带电导线暴露)  \n(未执行停电验电操作，导致，触电)  \n(瓷瓶破裂导致带电导线暴露，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2013-10_print.txt,违规使用核相小车打开隔离帘门;  带电的变压器侧静触头直接裸露,\n(现场监管不到位，导致，未遵守电力安全工作规程)  \n(现场监管不到位，导致，沟通协调不够)  \n(风险辨识审核检查不到位，导致，风险认识不足)  \n(风险辨识审核检查不到位，导致，准备工作不充分不细致不全面)  \n(安全措施未落实（未锁定或挂置安全标志），导致，工作票安全措施未明确注明带电部分)  \n(安全措施未落实（未锁定或挂置安全标志），导致，准备工作不充分不细致不全面)  \n( 未遵守电力安全工作规程，导致，违规使用核相小车打开隔离帘门)  \n(工作票安全措施未明确注明带电部分，导致，带电的变压器侧静触头直接裸露)  \n(风险认识不足，导致 ，违规使用核相小车打开隔离帘门)  \n(准备工作不充分不细致不全面，导致，带电的变压器侧静触头直接裸露)  \n(沟通协调不够，导致，违规使用核相小车打开隔离帘门)  \n(违规使用核相小车打开隔离帘门，导致，触电)  \n(带电的变压器侧静触头直接裸露，导致，触电)  \n(违规使用核相小车打开隔离帘门，和，带电的变压器侧静触头直接裸露)  \n(触电，导致，1人死亡；2人受伤；直接经济损失约0万元)
2014-1_print.txt,未执行验电操作;  身体接触高压带电线路 ,\n(安全培训教育不足，导致，勘查不认真)  \n(安全培训教育不足，导致，盲目听从指挥)  \n(监督检查不力，导致，审批把关流于形式)  \n(监督检查不力，导致，勘查不认真)  \n(勘查不认真，导致，误判线路状态)  \n(误判线路状态， 导致，未验证线路是否带电)  \n(审批把关流于形式，导致，未验证线路是否带电)  \n(未验证线路是否带电，导致，盲目听从指挥)  \n(盲目听从指挥，导致，未执行验电操作)  \n(未执行验电操作，导致，身体接触高压带电线路)  \n(未执行验电操作，导致，触电)  \n(身体接触高压带电线路，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约78万元)
2014-2_print.txt,误登上未停电的线路杆塔;  使用110kV验电笔验35kV线路,\n(安全制度缺失，导致，在运行的电力线路上工作不办理工作票)  \n(安全制度缺失，导致，施工前不召开班前会)  \n(安全培训教育不足，导致，技能不足)  \n(安全培训教育不足，导致，安全意识淡薄)  \n(资质审核不到位，导致，自我 防范能力差)  \n(资质审核不到位，导致，技能不足)  \n(隐患排查不到位，导致，安全警示不到位)  \n(隐患排查不到位，导致，在运行的电力线路上工作不办理工作票)  \n( 安全工器具管理混乱，导致，安全警示不到位)  \n(安全工器具管理混乱，导致，施工前不召开班前会)  \n(作业组织不规范，导致，施工前不召开班前会)  \n(作业组织不规范 ，导致，在运行的电力线路上工作不办理工作票)  \n(安全责任不落实，导致，在运行的电力线路上工作不办理工作票)  \n(安全责任不落实，导致，安全警示不到位)  \n(技能 不足，导致，误登上未停电的线路杆塔)  \n(安全意识淡薄，导致，使用110kV验电笔验35kV线路)  \n(安全警示不到位，导致，误登上未停电的线路杆塔)  \n(自我防范能力差，导致，误登上未停电的线路杆塔)  \n(在运行的电力线路上工作不办理工作票，导致，误登上未停电的线路杆塔)  \n(施工前不召开班前会，导致，使用110kV验电笔验35kV线路)  \n(误登上未停电的线路杆塔，和，使用110kV验电笔验35kV线路)  \n(误登上未停电的线路杆塔，导致，触电)  \n(使用110kV验电笔验35kV线路，导致，触电)  \n(触电，导致 ，1人死亡；0人受伤；直接经济损失约175万元)
2014-3_print.txt,违规进入专项施工现场;  擅自触及导电部位,\n(安全责任不落实，导致，安全生产责任制未落实)  \n(安全责任不落实，导致，施工现场管理混乱)  \n(安全培训教育不足，导致，安全教育培训流于形式)  \n(安全培训教育不足，导致，未向工人告知作业现场存在的安全风险)  \n(现场 监管不到位，导致，安全监管人员监管不力)  \n(现场监管不到位，导致，安全检查不到位)  \n(安全生产责任制未落实，导致，安全教育培训流于形式)  \n(安全教育培训流于 形式，导致，违规进入专项施工现场)  \n(安全监管人员监管不力，导致，擅自触及导电部位)  \n(安全检查不到位，导致，安全监管人员监管不力)  \n(施工现场管理混乱，导 致，违规进入专项施工现场)  \n(未向工人告知作业现场存在的安全风险，导致，违规进入专项施工现场)  \n(违规进入专项施工现场，和，擅自触及导电部位)  \n(违规进入专 项施工现场，导致，触电)  \n(擅自触及导电部位，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约84万元)
2014-4_print.txt,未执行验电操作;  未使用绝缘手套和绝缘靴;  线路带电（由于未断开电源）,\n(安全培训教育不足，导致，新员工技能不足)  \n(安全培训教育不足，导致，工作负责人安全意识薄弱)  \n(现场监督检查不力，导致，隐患排查不到位)  \n(现场监督检查不力，导致，新员工技能不足)  \n(工作票审核不到位，导致，工 作票安全措施不全面)  \n(工作票审核不到位，导致，隐患排查不到位)  \n(隐患排查不到位，导致，现场勘察遗漏关键信息)  \n(工作负责人安全意识薄弱，导致，未执行验电 操作)  \n(新员工技能不足，导致，未使用绝缘手套和绝缘靴)  \n(现场勘察遗漏关键信息，导致，线路带电（由于未断开电源）)  \n(工作票安全措施不全面，导致，未执行验 电操作)  \n(未执行验电操作，和，未使用绝缘手套和绝缘靴)  \n(未执行验电操作，和，线路带电（由于未断开电源）)  \n(未使用绝缘手套和绝缘靴，和，线路带电（由于未 断开电源）)  \n(未执行验电操作，导致，触电)  \n(未使用绝缘手套和绝缘靴，导致，触电)  \n(线路带电（由于未断开电源），导致，触电)  \n(触电，导致，1人死亡；0人 受伤；直接经济损失约0万元)
2014-5_print.txt,违章指挥强令冒险操作;  操作失误触碰带电体,\n(安全培训教育不足，导致，现场负责人不具备工作负责人资格)  \n(资质审核不到位，导致，现场负责人不具备工作负责人资格)  \n(安全培训教育不足，导致，施工方案未细化)  \n(资质审核不到位，导致，施工方案未细化)  \n(现场负 责人不具备工作负责人资格，导致，违章指挥强令冒险操作)  \n(施工方案未细化，导致，操作失误触碰带电体)  \n(违章指挥强令冒险操作，导致，触电)  \n(操作失误触碰带 电体，导致，触电)  \n(违章指挥强令冒险操作，和，操作失误触碰带电体)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2014-6_print.txt,绝缘子产生间歇性弧光接地,\n(安全制度缺失，导致，未办理设备异动手续)  \n(安全制度缺失，导致，自动脱扣功能未投入)  \n(现场监管不到位，导致，未安装避雷器)  \n(现场监管不到位，导致，设备外壳未接地)  \n(现场监管不到位，导致，引线绑扎不规范)  \n(未办理设备异动手续，导致，引线绑扎不规范)  \n(自动脱扣功能未投入，导致，绝缘子产生间歇性弧光接地)  \n(未安装避雷器，导致，引线绑扎不规范)  \n(设备外壳未接地，导致，绝缘子产生间歇性弧光接地)  \n(未安装避雷器，和，设备外壳未接地)  \n(未安装避雷器，和，引线绑扎不规范)  \n(设备外壳未接地，和，引线绑扎不规范)  \n(自 动脱扣功能未投入，和，引线绑扎不规范)  \n(引线绑扎不规范，导致，绝缘子产生间歇性弧光接地)  \n(绝缘子产生间歇性弧光接地，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)
2014-7_print.txt,绝缘芯棒受潮导致绝缘劣化;  未拉开隔离开关;  未验电;  未挂接地线;  未戴绝缘手套,\n(安全培训教育不足，导致，安全意识薄弱) \n(安全培训教育不足，导致，安全规章制度执行不力) \n(现场监督检查不力，导致，安全意识薄弱) \n(现场监督检查不力，导致，安全规章制度执行不力) \n(安全意识薄弱，导致，未拉开隔离开关) \n(安全意识薄弱，导致，未验电) \n(安全意识薄弱，导致，未挂接地线) \n(安全意识薄弱，导致，未戴绝缘手套) \n(安全规章制度执行不力，导致，未拉开隔离开关) \n(安全规章制度执行不力，导致，未验电) \n(安全规章制度执行不力，导致，未挂接地线) \n(安全规章制度执行不力，导致，未戴绝缘手套) \n(现场监督检查不力，导致，绝缘芯棒受潮导致绝缘劣化) \n(绝缘芯棒受潮导致绝缘劣化，和，未拉开隔离开关) \n(绝缘芯棒受潮导致绝缘劣化，和，未验电) \n(绝缘芯棒受潮导致绝缘劣化，和，未挂接地线) \n(绝缘芯棒受潮导致绝缘劣化，和，未戴绝缘手套) \n(未拉开隔离开关，和，未验电) \n(未拉开隔离开关，和，未挂接地线) \n(未拉开隔离开关，和，未戴绝缘手套) \n(未验电，和，未挂接地线) \n(未验电，和，未戴绝缘手套) \n(未挂接地线，和，未戴绝缘手套) \n(绝缘芯棒受潮导致绝缘劣化，导致，触电) \n(未拉开隔离开关，导致，触电) \n(未验电，导致，触电) \n(未挂接地线，导致，触电) \n(未戴绝缘手套，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
2014-9_print.txt,误判安全距离,\n(现场监管不到位，导致，未利用仪器进行测量) \n(现场监管不到位，导致，安全意识薄弱，强行违章操作) \n(未利用仪器进行测量，导致，误判安全距离) \n(安全意识薄弱，强行违章操作，导致，误判安全距离) \n(误判安全距离，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约36.97万元)\n##
2015-1_print.txt,违规操作;  未采取安全措施;  攀登带电设备,\n(安全制度缺失，导致，安排无资质人员作业) \n(安全制度缺失，导致，没有办理工作票许可手续) \n(安全培训教育不足，导致，员工安全技能不足) \n(安全培训教育不足，导致，风险管控不到位) \n(现场监管不到位，导致，现场工作管理不到位) \n(现场监管不到位，导致，安排无资质人员作业) \n(隐患排查不到位，导致，风险管控不到位) \n(隐患排查不到位，导致，没有办理工作票许可手续) \n(安排无资质人员作业，导致，违规操作) \n(没有办理工作票许可手续，导致，未采取安全措施) \n(现场工作管理不到位，导致，违规操作) \n(员工安全技能不足，导致，攀登带电设备) \n(风险管控不到位，导致，未采取安全措施) \n(违规操作，和，未采取安全措施) \n(违规操作，和，攀登带电设备) \n(未采取安全措施，和，攀登带电设备) \n(违规操作，导致，触电) \n(未采取安全措施，导致，触电) \n(攀登带电设备，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
